role_name,permission,default_granted
Finance Officer,finance.batches.unlock,FALSE
Finance Officer,finance.batches.update,TRUE
Finance Officer,finance.entries.create,TRUE
Finance Officer,finance.entries.delete,TRUE
Finance Officer,finance.entries.export,TRUE
Finance Officer,finance.entries.read,TRUE
Finance Officer,finance.entries.update,TRUE
Finance Officer,finance.lookups.manage,FALSE
Finance Officer,finance.verify,TRUE
Finance Officer,registry.admin_notes.create,FALSE
Finance Officer,registry.admin_notes.delete,FALSE
Finance Officer,registry.admin_notes.read,FALSE
Finance Officer,registry.admin_notes.update,FALSE
Finance Officer,registry.attendance.create,FALSE
Finance Officer,registry.attendance.delete,FALSE
Finance Officer,registry.attendance.export,FALSE
Finance Officer,registry.attendance.read,FALSE
Finance Officer,registry.attendance.update,FALSE
Finance Officer,registry.cells.assign,FALSE
Finance Officer,registry.departments.create,FALSE
Finance Officer,registry.departments.delete,FALSE
Finance Officer,registry.departments.read,FALSE
Finance Officer,registry.departments.update,FALSE
Finance Officer,registry.firsttimers.create,FALSE
Finance Officer,registry.firsttimers.delete,FALSE
Finance Officer,registry.firsttimers.export,FALSE
Finance Officer,registry.firsttimers.read,FALSE
Finance Officer,registry.firsttimers.update,FALSE
Finance Officer,registry.people.create,FALSE
Finance Officer,registry.people.delete,FALSE
Finance Officer,registry.people.export,FALSE
Finance Officer,registry.people.merge,FALSE
Finance Officer,registry.people.read,FALSE
Finance Officer,registry.people.update,FALSE
Finance Officer,reports.export,FALSE
Finance Officer,reports.schedule,FALSE
Finance Officer,reports.view,TRUE
Finance Officer,system.audit.view,FALSE
Finance Officer,system.exports.full_pii,FALSE
Finance Officer,system.roles.assign,FALSE
Finance Officer,system.scopes.assign,FALSE
Finance Officer,system.settings.manage,FALSE
Finance Officer,system.users.create,FALSE
Group Pastor,cells.manage,FALSE
Group Pastor,cells.reports.approve,FALSE
Group Pastor,cells.reports.create,FALSE
Group Pastor,cells.reports.delete,FALSE
Group Pastor,cells.reports.export,FALSE
Group Pastor,cells.reports.read,TRUE
Group Pastor,cells.reports.update,FALSE
Group Pastor,finance.batches.create,FALSE
Group Pastor,finance.batches.delete,FALSE
Group Pastor,finance.batches.lock,FALSE
Group Pastor,finance.batches.read,TRUE
Group Pastor,finance.batches.unlock,FALSE
Group Pastor,finance.batches.update,FALSE
Group Pastor,finance.entries.create,FALSE
Group Pastor,finance.entries.delete,FALSE
Group Pastor,finance.entries.export,FALSE
Group Pastor,finance.entries.read,TRUE
